subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1250373, 1, 1, 1, 1, 8, 0, 1006 
1250373, 1, 2, 2, 1, 16, 0, 1553 
1250373, 1, 3, 2, 2, 16, 0, 1103 
1250373, 1, 4, 1, 2, 16, 0, 960 
1250373, 1, 5, 2, 2, 8, 0, 984 
1250373, 1, 6, 1, 1, 4, 0, 909 
1250373, 1, 7, 1, 1, 4, 1, 968 
1250373, 1, 8, 2, 1, 16, 0, 2063 
1250373, 1, 9, 2, 1, 16, 0, 2243 
1250373, 1, 10, 1, 2, 8, 0, 1455 
1250373, 1, 11, 1, 2, 8, 0, 1429 
1250373, 1, 12, 2, 1, 8, 0, 1889 
1250373, 2, 1, 2, 1, 8, 0, 1282 
1250373, 2, 2, 1, 2, 16, 0, 1143 
1250373, 2, 3, 2, 1, 16, 0, 1420 
1250373, 2, 4, 1, 1, 8, 0, 1856 
1250373, 2, 5, 2, 2, 16, 0, 1258 
1250373, 2, 6, 2, 2, 8, 0, 1221 
1250373, 2, 7, 1, 1, 8, 0, 1504 
1250373, 2, 8, 2, 1, 4, 0, 1955 
1250373, 2, 9, 1, 2, 8, 0, 1139 
1250373, 2, 10, 1, 1, 16, 0, 1734 
1250373, 2, 11, 1, 1, 16, 1, 1360 
1250373, 2, 12, 1, 1, 16, 0, 1748 
1250373, 2, 13, 1, 1, 4, 0, 2312 
1250373, 2, 14, 2, 2, 16, 0, 1261 
1250373, 2, 15, 1, 2, 4, 0, 1259 
1250373, 2, 16, 1, 1, 8, 0, 1369 
1250373, 2, 17, 2, 1, 4, 0, 1656 
1250373, 2, 18, 2, 1, 16, 0, 2554 
1250373, 2, 19, 2, 1, 8, 0, 2701 
1250373, 2, 20, 2, 1, 8, 0, 2590 
1250373, 2, 21, 2, 1, 8, 0, 2339 
1250373, 2, 22, 2, 1, 4, 0, 1037 
1250373, 2, 23, 1, 1, 4, 0, 1183 
1250373, 2, 24, 1, 1, 8, 0, 789 
