subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1250373, 1, 1, 1, 1, 16, 0, 1976 
1250373, 1, 2, 2, 1, 8, 0, 1412 
1250373, 1, 3, 2, 2, 16, 0, 1433 
1250373, 1, 4, 2, 2, 16, 0, 1714 
1250373, 1, 5, 1, 2, 16, 1, 1254 
1250373, 1, 6, 2, 1, 16, 0, 1726 
1250373, 1, 7, 1, 2, 16, 0, 1788 
1250373, 1, 8, 1, 2, 8, 0, 994 
1250373, 1, 9, 2, 2, 8, 0, 1133 
1250373, 1, 10, 1, 1, 16, 1, 2380 
1250373, 1, 11, 2, 1, 16, 1, 1054 
1250373, 1, 12, 1, 1, 8, 0, 1853 
1250373, 2, 1, 1, 1, 16, 0, 1548 
1250373, 2, 2, 2, 1, 16, 0, 1675 
1250373, 2, 3, 2, 2, 4, 0, 1155 
1250373, 2, 4, 1, 1, 16, 0, 1265 
1250373, 2, 5, 1, 1, 8, 0, 2232 
1250373, 2, 6, 2, 2, 4, 0, 774 
1250373, 2, 7, 2, 2, 8, 0, 1037 
1250373, 2, 8, 1, 2, 8, 0, 760 
1250373, 2, 9, 1, 2, 16, 0, 861 
1250373, 2, 10, 2, 1, 16, 0, 2205 
1250373, 2, 11, 1, 1, 8, 0, 847 
1250373, 2, 12, 1, 2, 4, 0, 1004 
1250373, 2, 13, 2, 1, 8, 0, 1384 
1250373, 2, 14, 2, 2, 16, 0, 1849 
1250373, 2, 15, 1, 2, 16, 0, 777 
1250373, 2, 16, 2, 2, 8, 0, 1340 
1250373, 2, 17, 2, 2, 16, 0, 1881 
1250373, 2, 18, 2, 1, 8, 0, 1419 
1250373, 2, 19, 2, 1, 4, 0, 797 
1250373, 2, 20, 2, 1, 4, 0, 721 
1250373, 2, 21, 1, 2, 8, 0, 3517 
1250373, 2, 22, 2, 1, 8, 0, 1166 
1250373, 2, 23, 1, 1, 16, 0, 1171 
1250373, 2, 24, 2, 2, 4, 0, 1064 
1250373, 2, 25, 2, 1, 8, 0, 1210 
1250373, 2, 26, 1, 2, 16, 0, 855 
1250373, 2, 27, 2, 2, 8, 0, 1424 
1250373, 2, 28, 2, 1, 4, 0, 1228 
1250373, 2, 29, 2, 2, 16, 0, 1467 
1250373, 2, 30, 1, 1, 16, 0, 921 
1250373, 2, 31, 1, 2, 16, 0, 1293 
1250373, 2, 32, 2, 2, 8, 0, 1836 
1250373, 2, 33, 1, 2, 16, 0, 2188 
1250373, 2, 34, 1, 2, 4, 1, 1055 
1250373, 2, 35, 1, 1, 8, 0, 2212 
1250373, 2, 36, 2, 1, 16, 0, 1455 
1250373, 2, 37, 2, 2, 16, 0, 2264 
1250373, 2, 38, 1, 2, 16, 0, 1148 
1250373, 2, 39, 1, 2, 4, 0, 890 
1250373, 2, 40, 1, 1, 16, 0, 3785 
1250373, 2, 41, 1, 1, 4, 0, 1001 
1250373, 2, 42, 1, 2, 8, 0, 1725 
1250373, 2, 43, 1, 1, 16, 0, 1299 
1250373, 2, 44, 2, 2, 8, 0, 1724 
1250373, 2, 45, 2, 1, 4, 0, 2074 
1250373, 2, 46, 2, 2, 8, 0, 1361 
1250373, 2, 47, 2, 1, 4, 0, 983 
1250373, 2, 48, 2, 2, 16, 0, 1483 
1250373, 2, 49, 1, 2, 8, 0, 1304 
1250373, 2, 50, 2, 2, 16, 0, 2518 
1250373, 2, 51, 1, 1, 4, 0, 920 
1250373, 2, 52, 1, 1, 4, 0, 745 
1250373, 2, 53, 2, 1, 8, 0, 1032 
1250373, 2, 54, 1, 2, 8, 0, 1121 
1250373, 2, 55, 2, 2, 8, 0, 903 
1250373, 2, 56, 2, 2, 8, 0, 1007 
1250373, 2, 57, 1, 1, 4, 0, 857 
1250373, 2, 58, 2, 1, 16, 0, 1171 
1250373, 2, 59, 1, 1, 4, 0, 2907 
1250373, 2, 60, 1, 2, 4, 1, 918 
1250373, 2, 61, 2, 2, 4, 0, 969 
1250373, 2, 62, 1, 2, 8, 0, 1831 
1250373, 2, 63, 2, 2, 4, 0, 1240 
1250373, 2, 64, 1, 1, 8, 0, 1417 
1250373, 2, 65, 2, 2, 4, 0, 1946 
1250373, 2, 66, 2, 2, 8, 0, 1495 
1250373, 2, 67, 1, 2, 16, 0, 890 
1250373, 2, 68, 2, 1, 16, 0, 1768 
1250373, 2, 69, 1, 1, 16, 1, 1340 
1250373, 2, 70, 2, 1, 8, 0, 1426 
1250373, 2, 71, 2, 1, 4, 0, 682 
1250373, 2, 72, 1, 2, 8, 0, 1125 
1250373, 2, 73, 1, 1, 16, 0, 1327 
1250373, 2, 74, 2, 1, 16, 0, 1315 
1250373, 2, 75, 2, 1, 4, 0, 1192 
1250373, 2, 76, 1, 2, 4, 0, 1047 
1250373, 2, 77, 1, 1, 4, 1, 1221 
1250373, 2, 78, 1, 2, 8, 0, 776 
1250373, 2, 79, 2, 2, 4, 0, 1655 
1250373, 2, 80, 2, 2, 8, 0, 1518 
1250373, 2, 81, 2, 1, 16, 0, 2471 
1250373, 2, 82, 1, 2, 16, 0, 910 
1250373, 2, 83, 2, 2, 4, 0, 1117 
1250373, 2, 84, 2, 1, 16, 0, 2236 
1250373, 2, 85, 2, 1, 8, 0, 1556 
1250373, 2, 86, 2, 1, 4, 0, 855 
1250373, 2, 87, 1, 1, 4, 0, 829 
1250373, 2, 88, 2, 1, 8, 0, 843 
1250373, 2, 89, 2, 1, 16, 0, 1028 
1250373, 2, 90, 1, 2, 4, 0, 646 
1250373, 2, 91, 1, 1, 8, 0, 2025 
1250373, 2, 92, 2, 1, 4, 0, 3288 
1250373, 2, 93, 2, 1, 8, 0, 1719 
1250373, 2, 94, 1, 2, 4, 0, 812 
1250373, 2, 95, 2, 1, 8, 0, 1673 
1250373, 2, 96, 1, 1, 4, 0, 836 
1250373, 2, 97, 1, 2, 16, 0, 2429 
1250373, 2, 98, 2, 2, 8, 0, 1604 
1250373, 2, 99, 1, 1, 4, 0, 842 
1250373, 2, 100, 1, 1, 16, 1, 861 
1250373, 2, 101, 1, 1, 4, 0, 1016 
1250373, 2, 102, 2, 1, 8, 0, 1161 
1250373, 2, 103, 1, 2, 8, 0, 812 
1250373, 2, 104, 1, 2, 16, 0, 1419 
1250373, 2, 105, 1, 2, 4, 1, 886 
1250373, 2, 106, 1, 1, 8, 0, 1161 
1250373, 2, 107, 2, 2, 8, 0, 2090 
1250373, 2, 108, 1, 2, 8, 0, 2665 
1250373, 2, 109, 1, 2, 16, 0, 865 
1250373, 2, 110, 2, 2, 16, 0, 1047 
1250373, 2, 111, 1, 2, 8, 0, 757 
1250373, 2, 112, 1, 2, 8, 0, 823 
1250373, 2, 113, 2, 1, 16, 1, 888 
1250373, 2, 114, 2, 2, 8, 0, 1272 
1250373, 2, 115, 2, 1, 8, 0, 1324 
1250373, 2, 116, 1, 1, 16, 1, 1047 
1250373, 2, 117, 2, 2, 4, 0, 1035 
1250373, 2, 118, 1, 1, 8, 1, 970 
1250373, 2, 119, 1, 2, 4, 0, 1510 
1250373, 2, 120, 2, 2, 16, 0, 1335 
1250373, 2, 121, 2, 1, 4, 0, 1063 
1250373, 2, 122, 2, 2, 16, 0, 1160 
1250373, 2, 123, 2, 2, 8, 0, 1114 
1250373, 2, 124, 2, 2, 8, 0, 890 
1250373, 2, 125, 2, 2, 8, 0, 906 
1250373, 2, 126, 1, 1, 4, 0, 876 
1250373, 2, 127, 1, 1, 16, 1, 1179 
1250373, 2, 128, 2, 1, 4, 0, 903 
1250373, 2, 129, 2, 1, 16, 0, 950 
1250373, 2, 130, 1, 2, 16, 1, 1079 
1250373, 2, 131, 1, 2, 4, 0, 820 
1250373, 2, 132, 2, 2, 16, 0, 2294 
1250373, 2, 133, 2, 2, 16, 0, 1336 
1250373, 2, 134, 2, 2, 4, 0, 844 
1250373, 2, 135, 2, 1, 4, 0, 926 
1250373, 2, 136, 1, 1, 16, 0, 936 
1250373, 2, 137, 2, 2, 16, 0, 1163 
1250373, 2, 138, 1, 1, 8, 0, 872 
1250373, 2, 139, 2, 1, 8, 0, 967 
1250373, 2, 140, 1, 1, 8, 0, 1710 
1250373, 2, 141, 2, 1, 8, 0, 1239 
1250373, 2, 142, 1, 2, 4, 0, 778 
1250373, 2, 143, 1, 2, 16, 1, 1479 
1250373, 2, 144, 1, 1, 4, 0, 791 
1250373, 2, 145, 1, 1, 16, 0, 892 
1250373, 2, 146, 2, 1, 4, 0, 938 
1250373, 2, 147, 2, 1, 4, 0, 938 
1250373, 2, 148, 2, 1, 8, 0, 943 
1250373, 2, 149, 1, 1, 8, 1, 837 
1250373, 2, 150, 2, 2, 8, 0, 1162 
1250373, 2, 151, 2, 2, 8, 0, 945 
1250373, 2, 152, 1, 2, 4, 0, 901 
1250373, 2, 153, 1, 2, 16, 0, 1433 
1250373, 2, 154, 1, 2, 16, 0, 2364 
1250373, 2, 155, 1, 2, 16, 0, 1176 
1250373, 2, 156, 2, 2, 4, 0, 1355 
1250373, 2, 157, 1, 2, 4, 0, 854 
1250373, 2, 158, 2, 1, 16, 0, 1412 
1250373, 2, 159, 1, 2, 4, 0, 1252 
1250373, 2, 160, 1, 2, 8, 0, 924 
1250373, 2, 161, 1, 2, 16, 0, 858 
1250373, 2, 162, 2, 1, 16, 0, 1720 
1250373, 2, 163, 1, 2, 4, 0, 1073 
1250373, 2, 164, 1, 2, 8, 0, 1001 
1250373, 2, 165, 1, 1, 8, 1, 1062 
1250373, 2, 166, 1, 2, 4, 0, 1207 
1250373, 2, 167, 2, 2, 16, 0, 1977 
1250373, 2, 168, 1, 1, 8, 0, 1000 
1250373, 2, 169, 1, 2, 8, 0, 1193 
1250373, 2, 170, 2, 2, 16, 0, 1604 
1250373, 2, 171, 2, 1, 4, 0, 1742 
1250373, 2, 172, 1, 1, 8, 0, 1078 
1250373, 2, 173, 1, 1, 4, 0, 923 
1250373, 2, 174, 1, 1, 16, 0, 1965 
1250373, 2, 175, 2, 2, 16, 0, 1175 
1250373, 2, 176, 2, 2, 4, 0, 918 
1250373, 2, 177, 1, 2, 8, 0, 775 
1250373, 2, 178, 1, 1, 4, 0, 803 
1250373, 2, 179, 2, 2, 4, 0, 1197 
1250373, 2, 180, 1, 1, 8, 0, 2596 
1250373, 2, 181, 2, 1, 16, 0, 1001 
1250373, 2, 182, 1, 2, 16, 0, 1047 
1250373, 2, 183, 2, 1, 8, 0, 1177 
1250373, 2, 184, 2, 2, 8, 0, 1626 
1250373, 2, 185, 2, 2, 16, 0, 984 
1250373, 2, 186, 1, 2, 8, 0, 787 
1250373, 2, 187, 2, 2, 4, 0, 841 
1250373, 2, 188, 2, 2, 4, 0, 728 
1250373, 2, 189, 2, 2, 4, 0, 871 
1250373, 2, 190, 1, 1, 4, 0, 743 
1250373, 2, 191, 1, 1, 8, 1, 922 
1250373, 2, 192, 1, 2, 16, 1, 888 
1250373, 2, 193, 2, 2, 4, 0, 905 
1250373, 2, 194, 1, 1, 4, 0, 744 
1250373, 2, 195, 2, 1, 16, 0, 1470 
1250373, 2, 196, 2, 2, 8, 0, 1016 
1250373, 2, 197, 2, 1, 16, 0, 1367 
1250373, 2, 198, 1, 1, 16, 0, 1048 
1250373, 2, 199, 2, 1, 4, 0, 924 
1250373, 2, 200, 2, 1, 4, 0, 929 
1250373, 2, 201, 1, 1, 16, 0, 1078 
1250373, 2, 202, 1, 2, 16, 1, 1190 
1250373, 2, 203, 1, 1, 8, 0, 826 
1250373, 2, 204, 2, 2, 16, 0, 1434 
1250373, 2, 205, 2, 1, 4, 0, 908 
1250373, 2, 206, 2, 1, 8, 0, 1027 
1250373, 2, 207, 1, 1, 8, 0, 1141 
1250373, 2, 208, 2, 2, 4, 0, 893 
1250373, 2, 209, 1, 1, 16, 0, 1225 
1250373, 2, 210, 1, 1, 16, 0, 1639 
1250373, 2, 211, 2, 2, 16, 0, 1164 
