,目標刺激：円,,,,,,目標刺激：円+棒,,,,,
,目標刺激あり(円+棒の中に円),,,目標刺激なし(円+棒のみ),,,目標刺激あり(円の中に円+棒),,,目標刺激なし(円のみ),,
参加者番号,4,8,16,4,8,16,4,8,16,4,8,16
1250332,665.6,713.737,706.789,665.6,654.6,706.789,878.467,811.412,1257.43,930,1293.4,1337.39
1250280,753.821,646.13,750.571,724.591,773.259,913.426,846.593,848.842,1064.65,954.957,993.55,1089.88
1250326,821.25,1124.3,1136.25,798.611,970.174,1136.56,755.85,766.9,711.3,671.7,756.75,699.15
1250365,818.684,934.35,1041,791.95,1162.2,1500,782.105,829.526,730.474,711.85,674.3,711.35
1250331,996.632,1064.87,1087.55,784.65,916.4,958.2,784.65,889.9,793.105,737.8,768.5,754.15
1250337,944.9,997,1347.6,986.5,1246.4,1941.1,894.3,830.9,844.3,839,941.1,1064.9
1250374,886.667,983.211,1165,692.471,744.15,745.412,784.75,703.55,744,844.813,1204.44,1301.9
1250377,810.429,1067,1295.64,961.389,1173.06,1545.85,805,774.182,743.25,660.2,712.2,696.905
1250344,869.842,899,1085.56,934.35,1161.95,1530.6,783.25,796.55,805.6,734.3,833.15,939.25
1250384,706.842,809.188,736.333,767.125,880.529,806.55,699.294,632.824,662.063,565.8,574.9,563.55
1250319,578.8824,723.9375,677.3636,484.8235,545.8235,639.25,657.6,629,685.3529,585.5556,601.8947,573.5263
1250329,883.35,1161.2,1182.95,1002.5,1529.55,2046.85,715,774,730.176,724.15,735.2,798.9
1250292,849.75,1063.35,1386.125,1028.8,1365.3,2015.263158,776.35,892.5789474,871.8888889,863.1578947,976.5789474,971.3684211
1250360,849.36,1093.5,1347.7,1002.9,1433.7,1657.6,872,800,873,760,821,881
1250284,844.7895,841.2353,821.5833,846.6471,1123.3,612.9474,759.6471,738.1111,658.7059,600.5,623.2632,623.2632
,,,,,,,,,,,,
,,,,,,,,,,,,
反応時間の平均値,818.7199267,941.4672533,1051.200993,831.5271733,1045.3597,1250.426504,786.32374,781.2184032,811.6863793,745.5855663,834.0151232,867.0988614
（不偏）分散,11381.0122,26521.10794,63461.02139,24050.06451,85293.05212,273542.8642,4462.443209,6319.696445,26131.41166,14569.00238,45105.25022,60848.23421
標準偏差,106.6818269,162.8530256,251.9147105,155.0808322,292.0497425,523.0132543,66.80152101,79.49651844,161.6521316,120.7021225,212.3799666,246.6743485
標準誤差,27.54512927,42.0484704,65.04409857,40.04169869,75.40691928,135.0414416,17.24807856,20.5259128,41.73840091,31.16515402,54.83627158,63.69104292
,表示形式は「自動」にしてください。左上の「123」と書かれている場所で変更できます。,,,,,,,,,,,
,,,,,,,,,,,,
回帰直線の傾き（目標刺激あり条件）,,,,,,,,,,,,
参加者番号,目標刺激：円,目標刺激：円+棒,傾きの差,,,,,,,,,
1250332,2.818,35.03339286,-32.21539286,,,,,,,,,
1250280,1.632875,19.42921429,-17.79633929,,t 値,2.9150238,,,,,,
1250326,22.71339286,-4.175,26.88839286,,,,,,,,,
1250365,17.78417857,-5.456714286,23.24089286,,,↓ 有意確率 (p),,,,,,
1250331,6.899142857,-1.124553571,8.023696429,,TDIST,0.01130141016,,,,,,
1250337,35.025,-3.332142857,38.35714286,,TTEST,0.01130141016,,,,,,
1250374,23.12716071,-2.188392857,25.31555357,,,,,,,,,
1250377,38.74078571,-4.963071429,43.70385714,,,,,,,,,
1250344,18.73985714,1.758035714,16.98182143,,,,,,,,,
1250384,0.8055178571,-2.137232143,2.94275,,,,,,,,,
1250319,6.202694643,2.988651786,3.214042857,,,,,,,,,
1250329,21.78839286,0.3014285714,21.48696429,,,,,,,,,
1250292,44.07633929,6.454741019,37.62159827,,,,,,,,,
1250360,40.135,1.375,38.76,,,,,,,,,
1250284,-2.008514286,-8.628035714,6.619521429,,,,,,,,,
傾きの平均値,18.56532155,2.355688092,16.20963346,,,,,,,,,
（不偏）分散,243.2423308,124.6619955,463.8242361,,,,,,,,,
標準偏差,15.59622809,11.16521364,21.53657902,,,,,,,,,
標準誤差,4.026928778,2.882845764,5.560720793,,,,,,,,,
